headline,url
"

               Climate crisis
                Tuesday was world’s hottest day on record – breaking Monday’s record  ",https://www.theguardian.com/environment/2023/jul/05/tuesday-was-worlds-hottest-day-on-record-breaking-mondays-record
Tuesday was world’s hottest day on record – breaking Monday’s record,https://www.theguardian.com/environment/2023/jul/05/tuesday-was-worlds-hottest-day-on-record-breaking-mondays-record
"

               Threads app
                Instagram owner launches Twitter rival in 100 countries  ",https://www.theguardian.com/technology/2023/jul/06/meta-launches-twitter-rival-threads-in-100-countries
Instagram owner launches Twitter rival in 100 countries,https://www.theguardian.com/technology/2023/jul/06/meta-launches-twitter-rival-threads-in-100-countries
"

               ‘Double agents’
                Fossil-fuel lobbyists work for US groups trying to fight climate crisis  ",https://www.theguardian.com/us-news/2023/jul/05/double-agent-fossil-fuel-lobbyists
Climate Big tech vows to fight crisis but employs fossil fuel-linked lobbyists,https://www.theguardian.com/us-news/2023/jul/05/big-tech-vows-to-fight-climate-crisis-but-employs-fossil-fuel-linked-lobbyists
State Farm Company stopped insuring California homes – but shares lobbyists with big oil,https://www.theguardian.com/us-news/2023/jul/05/state-farm-stopped-insuring-california-homes-due-to-climate-risks-but-it-shares-lobbyists-with-big-oil
Climate Big tech vows to fight crisis but employs fossil fuel-linked lobbyists,https://www.theguardian.com/us-news/2023/jul/05/big-tech-vows-to-fight-climate-crisis-but-employs-fossil-fuel-linked-lobbyists
State Farm Company stopped insuring California homes – but shares lobbyists with big oil,https://www.theguardian.com/us-news/2023/jul/05/state-farm-stopped-insuring-california-homes-due-to-climate-risks-but-it-shares-lobbyists-with-big-oil
Fossil-fuel lobbyists work for US groups trying to fight climate crisis,https://www.theguardian.com/us-news/2023/jul/05/double-agent-fossil-fuel-lobbyists
"

                 ‘Like a very pungent office fridge’
                  Rare corpse flower blooms in San Francisco  ",https://www.theguardian.com/us-news/2023/jul/05/corpse-flower-san-francisco-bloom-pungent-smell
Rare corpse flower blooms in San Francisco,https://www.theguardian.com/us-news/2023/jul/05/corpse-flower-san-francisco-bloom-pungent-smell
"

                 Nato
                  Biden ratchets up efforts to secure Sweden’s membership ahead of key summit  ",https://www.theguardian.com/world/2023/jul/06/biden-ratchets-up-efforts-to-secure-swedens-nato-membership-ahead-of-key-summit
Biden ratchets up efforts to secure Sweden’s membership ahead of key summit,https://www.theguardian.com/world/2023/jul/06/biden-ratchets-up-efforts-to-secure-swedens-nato-membership-ahead-of-key-summit
"

                 France
                  Navy investigates claims that off-duty marines beat up suspected rioters  ",https://www.theguardian.com/world/2023/jul/06/french-navy-investigates-claims-that-off-duty-marines-beat-up-suspected-rioters
Navy investigates claims that off-duty marines beat up suspected rioters,https://www.theguardian.com/world/2023/jul/06/french-navy-investigates-claims-that-off-duty-marines-beat-up-suspected-rioters
"

                 Business
                  World’s 722 biggest companies ‘making $1tn in windfall profits’  ",https://www.theguardian.com/business/2023/jul/06/worlds-722-biggest-companies-making-1tn-in-windfall-profits
World’s 722 biggest companies ‘making $1tn in windfall profits’,https://www.theguardian.com/business/2023/jul/06/worlds-722-biggest-companies-making-1tn-in-windfall-profits
"

                 ‘I needed to see’
                  Victims’ families tour site of Parkland massacre five years on  ",https://www.theguardian.com/us-news/2023/jul/05/parkland-marjory-stoneman-douglas-school-shooting-victims-families
Victims’ families tour site of Parkland massacre five years on,https://www.theguardian.com/us-news/2023/jul/05/parkland-marjory-stoneman-douglas-school-shooting-victims-families
"

                 Roller coasters
                  Eight stuck upside down on Wisconsin ride for more than three hours  ",https://www.theguardian.com/us-news/2023/jul/05/wisconsin-roller-coaster-ride-festival-trapped
Eight stuck upside down on Wisconsin ride for more than three hours,https://www.theguardian.com/us-news/2023/jul/05/wisconsin-roller-coaster-ride-festival-trapped
"

                 China
                  Beijing accused of scores of abuses linked to ‘green mineral’ mining  ",https://www.theguardian.com/world/2023/jul/05/china-mineral-mining-green-energy
Beijing accused of scores of abuses linked to ‘green mineral’ mining,https://www.theguardian.com/world/2023/jul/05/china-mineral-mining-green-energy
"

                 Wisconsin
                  Governor slashes tax cuts and boosts school funding – for centuries  ",https://www.theguardian.com/us-news/2023/jul/05/wisconsin-governor-tony-evers-guts-tax-cuts-boosts-school-funding-for-centuries
Governor slashes tax cuts and boosts school funding – for centuries,https://www.theguardian.com/us-news/2023/jul/05/wisconsin-governor-tony-evers-guts-tax-cuts-boosts-school-funding-for-centuries
