headline,url
,/us-news/2024/jan/12/biden-congress-yemen-strikes-houthi
LondonHundreds of thousands expected at weekend protests,/world/2024/jan/12/hundreds-of-thousands-expected-at-weekend-protests-in-london-after-yemen-strikes
AnalysisStrikes could bring Biden closer to war he doesn't want,/world/2024/jan/12/yemen-houthi-airstrikes-red-sea-crisis-joe-biden-us-uk-australia
US-UK Houthi strikesVisual guide to the attack in Yemen,/world/2024/jan/12/us-uk-houthi-strikes-attack-yemen-visual-guide
,/us-news/2024/jan/12/trump-e-jean-carroll-damages-trial-lawyer
,/guardian-live-events/2024/jan/12/iowa-caucus-event-sam-levine-watch-live
ExplainerWhat are the Iowa caucuses and how will they shape the 2024 US election?,/us-news/2024/jan/12/what-are-iowa-caucuses-2024-presidential-election
Iowa caucusFinal days of campaigning snarled by ‘life-threatening’ weather,/us-news/2024/jan/12/iowa-weather-blizzards-snow-republican-caucus
,/us-news/2024/jan/12/quaker-oats-granola-cereal-recall
,/science/2024/jan/12/nasa-lockheed-martin-reveal-x-59-quiet-supersonic-aircraft
,/media/2024/jan/12/casey-newton-quits-substack-nazi-newsletter
,/technology/2024/jan/12/microsoft-apple-world-valuable-company-stock-market
,/us-news/2024/jan/12/hunter-biden-republicans-subpoenas
,/us-news/2024/jan/12/los-angeles-county-sheriff-deputy-ryan-twyman
,/us-news/2024/jan/12/death-penalty-buffalo-supermarket-shooting-payton-gendron
,/world/2024/jan/12/suriname-dictator-desi-bouterse-missing-prison
