headline,url
,/us-news/2024/apr/25/supreme-court-trump-immunity-claim
Key takeaways Trump immunity hearing explained,/us-news/2024/apr/25/supreme-court-trump-criminal-trial-immunity-key-takeaways
,/us-news/2024/apr/25/david-pecker-testimony-trump-trial
"Key takeawaysEmbarrassing stories, and who pays?",/us-news/2024/apr/25/trump-hush-money-trial-key-takeaways
,/film/2024/apr/25/harvey-weinstein-rape-conviction
ExplainerWhat does ruling mean for California rape conviction?,/world/2024/apr/25/harvey-weinstein-los-angeles-conviction
Harvey Weinstein2020 New York rape conviction overturned,/world/2024/apr/25/harvey-weinstein-rape-conviction-overturned
,/us-news/2024/apr/25/emory-university-protest-arrests
CaliforniaUSC cancels main commencement ceremony amid Gaza protests,/us-news/2024/apr/25/usc-cancels-commencement-gaza-protests
JohnsonSpeaker condemned for protest remarks,/us-news/2024/apr/25/mike-johnson-columbia-gaza-protests
,/world/2024/apr/25/israel-hostages-gaza-rafah-ceasefire-negotiations
,/technology/2024/apr/25/microsoft-earnings
,/world/2024/apr/26/us-military-troops-gaza-aid-pier
,/us-news/2024/apr/25/maryland-teacher-ai-principal
,/technology/2024/apr/25/bytedance-shut-down-tiktok-than-sell
,/us-news/2024/apr/25/crystal-mason-black-woman-voting-error-acquittal
,/sport/live/2024/apr/26/nfl-draft-2024-updates-picks-time-picks
