headline,url
Hurricane Ian  Florida and Carolinas comb wreckage to assess deadly toll ,https://www.theguardian.com/us-news/2022/oct/01/hurricane-ian-south-carolina-florida-storm
‘Our community is wiped out’ Low-income people hit hardest,https://www.theguardian.com/us-news/2022/oct/01/hurricane-ian-inequality-recovery-damage-florida
DeSantis Governor changes with the wind as Ian prompts flip-flop,https://www.theguardian.com/us-news/2022/sep/30/ron-desantis-hurricane-ian-florida-sandy
Shark tale? Video of large fish in Florida yard goes viral,https://www.theguardian.com/us-news/2022/sep/30/shark-florida-flood-hurricane-ian
‘Our community is wiped out’ Low-income people hit hardest,https://www.theguardian.com/us-news/2022/oct/01/hurricane-ian-inequality-recovery-damage-florida
DeSantis Governor changes with the wind as Ian prompts flip-flop,https://www.theguardian.com/us-news/2022/sep/30/ron-desantis-hurricane-ian-florida-sandy
Shark tale? Video of large fish in Florida yard goes viral,https://www.theguardian.com/us-news/2022/sep/30/shark-florida-flood-hurricane-ian
Florida and Carolinas comb wreckage to assess deadly toll,https://www.theguardian.com/us-news/2022/oct/01/hurricane-ian-south-carolina-florida-storm
US gun control  Reformers feel history is on their side despite bleak outlook in Congress ,https://www.theguardian.com/us-news/2022/oct/01/gun-control-support-republicans-safer-communities-act
Reformers feel history is on their side despite bleak outlook in Congress,https://www.theguardian.com/us-news/2022/oct/01/gun-control-support-republicans-safer-communities-act
Ukraine  Forces perform victory dance after liberating eastern city of Lyman ,https://www.theguardian.com/world/2022/oct/01/ukraine-forces-encircle-thousands-of-russian-troops-in-key-city
Russia Kremlin attempts to calm fury over mobilisation,https://www.theguardian.com/world/2022/oct/01/kremlin-attempts-to-calm-russian-fury-over-chaotic-mobilisation
Moscow Behind the shining pomp is a country in turmoil,https://www.theguardian.com/world/2022/sep/30/russia-ukraine-regions-annexation-putin-red-square-rally-turmoil
Russia Kremlin attempts to calm fury over mobilisation,https://www.theguardian.com/world/2022/oct/01/kremlin-attempts-to-calm-russian-fury-over-chaotic-mobilisation
Moscow Behind the shining pomp is a country in turmoil,https://www.theguardian.com/world/2022/sep/30/russia-ukraine-regions-annexation-putin-red-square-rally-turmoil
Forces perform victory dance after liberating eastern city of Lyman,https://www.theguardian.com/world/2022/oct/01/ukraine-forces-encircle-thousands-of-russian-troops-in-key-city
Indonesia football riot  129 people killed after stampede at match ,https://www.theguardian.com/world/2022/oct/02/indonesia-football-fans-killed-east-java-arema-malang
129 people killed after stampede at match,https://www.theguardian.com/world/2022/oct/02/indonesia-football-fans-killed-east-java-arema-malang
Sackler family  London museum drops financial ties over links with opioids ,https://www.theguardian.com/artanddesign/2022/oct/01/campaigners-celebrate-as-va-severs-sackler-links-over-opioids-cash
London museum drops financial ties over links with opioids,https://www.theguardian.com/artanddesign/2022/oct/01/campaigners-celebrate-as-va-severs-sackler-links-over-opioids-cash
Texas  Uvalde families stand with Beto O’Rourke amid Republican silence on gun reform ,https://www.theguardian.com/us-news/2022/oct/01/uvalde-school-shooting-beto-o-rourke-texas-greg-abbott
Uvalde families stand with Beto O’Rourke amid Republican silence on gun reform,https://www.theguardian.com/us-news/2022/oct/01/uvalde-school-shooting-beto-o-rourke-texas-greg-abbott
California  Amtrak suspends San Diego-Los Angeles service due to shifting ground ,https://www.theguardian.com/us-news/2022/oct/01/amtrak-san-diego-los-angeles-trains-suspended
Amtrak suspends San Diego-Los Angeles service due to shifting ground,https://www.theguardian.com/us-news/2022/oct/01/amtrak-san-diego-los-angeles-trains-suspended
Climate crisis  King Charles abandons plans to attend Cop27 ‘following PM's advice’ ,https://www.theguardian.com/uk-news/2022/oct/01/king-charles-abandons-plans-to-attend-cop27-following-liz-trusss-advice
King Charles abandons plans to attend Cop27 ‘following PM's advice’,https://www.theguardian.com/uk-news/2022/oct/01/king-charles-abandons-plans-to-attend-cop27-following-liz-trusss-advice
Iran  Iranian American held for seven years granted temporary release ,https://www.theguardian.com/world/2022/oct/01/iranian-american-siamak-namazi-freed-prison
Iranian American held for seven years granted temporary release,https://www.theguardian.com/world/2022/oct/01/iranian-american-siamak-namazi-freed-prison
‘I am lonely’  Controversial book reveals Anthony Bourdain’s final days ,https://www.theguardian.com/food/2022/oct/01/i-am-lonely-controversial-book-reveals-anthony-bourdains-final-days
Controversial book reveals Anthony Bourdain’s final days,https://www.theguardian.com/food/2022/oct/01/i-am-lonely-controversial-book-reveals-anthony-bourdains-final-days
UK  ‘Huge turnouts’ reported at cost of living protests ,https://www.theguardian.com/business/2022/oct/01/huge-turnouts-reported-at-uk-cost-of-living-protests
‘Huge turnouts’ reported at cost of living protests,https://www.theguardian.com/business/2022/oct/01/huge-turnouts-reported-at-uk-cost-of-living-protests
