headline,url
,/us-news/2024/apr/01/florida-abortion-right-constitution-vote-november-election
,/us-news/2024/apr/01/trump-bond-civil-fraud-case-averts-asset-seizures
Truth SocialTrump's stake in company falls by $1bn after it reveals $58m loss ,/us-news/2024/apr/01/trump-truth-social-stocks
,/world/live/2024/apr/02/middle-east-crisis-live-updates-israel-gaza-war-today-gaza-foreign-aid-workers-killed-idf-investigation
"Israeli strikeFour foreign aid workers and Palestinian translator killed, officials say",/world/2024/apr/02/israel-idf-air-strike-gaza-foreign-aid-workers-palestinian-translator-killed
IsraelAl Jazeera faces ‘security threat’ ban as new law passed,/world/2024/apr/01/al-jazeera-faces-security-threat-ban-after-israel-passes-new-law-benjamin-netanyahu
GazaIsraeli forces withdraw from al-Shifa hospital after two-week raid,/world/2024/apr/01/israeli-forces-withdraw-from-gaza-al-shifa-hospital-after-two-week-raid
,/us-news/2024/apr/01/california-police-video-shooting-15-year-old-girl-savannah-graziano
,/world/2024/apr/02/ukraine-war-briefing-fresh-hope-for-us-house-vote-on-kyiv-aid-deal
,/us-news/2024/apr/01/trump-stephen-miller-anti-white-racism-plan
,/us-news/2024/apr/01/robert-f-kennedy-jr-north-carolina-ballot-2024-elections
,/us-news/2024/apr/01/highway-1-collapse-california
,/sport/2024/apr/01/pro-bowl-cornerback-vontae-davis-found-dead-at-age-of-35
,/world/2024/apr/01/havana-syndrome-linked-to-russian-unit-media-investigation-suggests
,/technology/2024/apr/01/google-destroying-browsing-data-privacy-lawsuit
